Player_name,Level,Role,Metric,Score
Nuwan Thushara,capped,Bowler,Consistency,70.12901046
Josh Hazlewood,Elite,Bowler,Consistency,68.27102821
Abdul Samad,capped,All Rounder,Consistency,51.3847942
Kuldeep Yadav,Elite,Bowler,Consistency,56.28078351
Rovman powell,capped,Batter,Consistency,48.45801556
Digvesh Rathi,Uncapped,Bowler,Consistency,76.66897644
Sai Kishore,capped,All Rounder,Consistency,56.33019661
William O'Rourke,capped,Bowler,Consistency,85.96715784
Mukesh Choudhary,Uncapped,Bowler,Consistency,69.22513309
Madhav Tiwari,Uncapped,All Rounder,Consistency,48.29108092
Sam Curran,capped,All Rounder,Consistency,53.1810296
Varun Chakaravarthy,capped,Bowler,Consistency,63.17546864
Andre Russell,capped,All Rounder,Consistency,50.82090764
Kamindu Mendis,capped,All Rounder,Consistency,57.59214511
Ravichandran Ashwin,Elite,All Rounder,Consistency,56.16011271
Kulwant Khejroliya,Uncapped,Bowler,Consistency,85.26605343
Pat Cummins,Elite,Bowler,Consistency,56.51839992
Yash Thakur,Uncapped,Bowler,Consistency,57.95372529
Mohammed Siraj,capped,Bowler,Consistency,52.08957506
Arshdeep Singh,Elite,Bowler,Consistency,59.5664234
Hardik Pandya,Elite,All Rounder,Consistency,49.61877853
Wanindu Hasaranga,capped,All Rounder,Consistency,53.11253167
Sandeep Sharma,capped,Bowler,Consistency,65.51898341
Lockie Ferguson,capped,Bowler,Consistency,61.91238223
Robin Minz,Uncapped,Wicket Keeper,Consistency,47.33602791
Khaleel Ahmed,capped,Bowler,Consistency,55.67668473
Vaibhav Arora,capped,Bowler,Consistency,64.43953421
Tushar Deshpande,capped,Bowler,Consistency,61.29445562
Shahbaz Ahmed,Uncapped,All Rounder,Consistency,55.6869794
Karn Sharma,capped,Bowler,Consistency,55.19705765
Xavier Bartlett,capped,Bowler,Consistency,51.27863815
Harshal Patel,capped,Bowler,Consistency,59.99109484
Maheesh Theekshana,capped,Bowler,Consistency,60.86167197
Kumar Kartikeya Singh,Uncapped,Bowler,Consistency,53.23398676
Vijaykumar Vyshak,capped,Bowler,Consistency,60.79831009
Anukul Roy,Uncapped,All Rounder,Consistency,64.5172507
Yuzvendra Chahal,Elite,Bowler,Consistency,58.42091994
Vignesh Puthur,Uncapped,Bowler,Consistency,66.1170452
Manimaran Siddharth,Uncapped,Bowler,Consistency,66.43199611
Matheesha Pathirana,capped,Bowler,Consistency,57.09426441
Rashid Khan,Elite,All Rounder,Consistency,51.71728589
Gerald Coetzee,capped,Bowler,Consistency,51.83288912
Marcus Stoinis,capped,All Rounder,Consistency,58.81459898
Shardul Thakur,capped,All Rounder,Consistency,58.66747175
Akash Deep,capped,Bowler,Consistency,51.66730185
Trent Boult,capped,Bowler,Consistency,67.50809333
Deepak Chahar,capped,Bowler,Consistency,58.13446222
Ravi Bishnoi,capped,Bowler,Consistency,51.58120382
Deepak Hooda,capped,All Rounder,Consistency,46.93997322
Bhuvneshwar Kumar,capped,Bowler,Consistency,59.17241004
Adam Zampa,capped,Bowler,Consistency,74.05139045
Mitchell Starc,Elite,Bowler,Consistency,50.8805805
Moeen Ali,capped,All Rounder,Consistency,62.01424386
Donovan Ferreira,capped,Wicket Keeper,Consistency,45.7057685
Ravindra Jadeja,Elite,All Rounder,Consistency,57.66731291
Yash Dayal,capped,Bowler,Consistency,48.73258773
Mohit Sharma,capped,Bowler,Consistency,48.60631686
Mukesh Kumar,capped,Bowler,Consistency,62.22760713
Avesh Khan,capped,Bowler,Consistency,62.98924422
Manoj Bhandage,Uncapped,All Rounder,Consistency,45.83343156
Nathan Ellis,capped,Bowler,Consistency,67.08160543
Mohammad Shami,capped,Bowler,Consistency,50.81756561
Kagiso Rabada,Elite,Bowler,Consistency,47.82819654
V Satyanarayana Penmetsa,Uncapped,Bowler,Consistency,58.37176119
Mujeeb Ur Rahman,capped,Bowler,Consistency,65.54288971
Zeeshan Ansari,Uncapped,Bowler,Consistency,53.31155925
Fazalhaq Farooqi,capped,Bowler,Consistency,47.9344553
Suyash Sharma,capped,Bowler,Consistency,52.10917597
Mayank Yadav,capped,Bowler,Consistency,57.07445385
Kwena Maphaka,capped,Bowler,Consistency,55.30193171
Ishant Sharma,capped,Bowler,Consistency,59.18733484
Liam Livingstone,capped,All Rounder,Consistency,47.65675902
Jamie Overton,capped,Bowler,Consistency,47.36317666
Dushmantha Chameera,capped,Bowler,Consistency,54.69044261
Suryansh Shedge,Uncapped,All Rounder,Consistency,46.79418455
Wiaan Mulder,capped,All Rounder,Consistency,46.93280972
Simarjeet Singh,Uncapped,Bowler,Consistency,49.84301133
Rasikh Dar Salam,capped,Bowler,Consistency,52.40139631
Anrich Nortje,capped,Bowler,Consistency,51.85984719
Spencer Johnson,capped,Bowler,Consistency,47.67863904
Kyle Jamieson,capped,Bowler,Consistency,50.3165705
Chetan Sakariya,Uncapped,Bowler,Consistency,49.21636737
Rahul Chahar,capped,Bowler,Consistency,46.69519028
T Natarajan,capped,Bowler,Consistency,46.11466155
Karim Janat,Uncapped,All Rounder,Consistency,30.0
Kuldeep Sen,Uncapped,Bowler,Consistency,30.0
Vishnu Vinod,capped,Wicket Keeper,Consistency,30.0
Nishant Sindhu,capped,All Rounder,Consistency,30.0
Swastik Chikara,Uncapped,Batter,Consistency,30.0
