Player_id,Team,Player_name,Role,Nationality,Auction_price,Batting_type,Bowling type,Level,PPS_Score,Consistency_Score,Opening_Score,Middle_Score,Death_Score,Final_Phase_Score,RSI_Score,TCS_Score,FIS_Score,Overall_Score
RRB1,RR,Vaibhav Suryavanshi,Batter,India,110,Left-hand,,Uncapped,99.91862551906438,97.9846016238324,98.94800252717256,99.34247971741567,99.5579827908108,100.0,99.15995622671643,99.76470150380716,97.2190010585086,99.24
CSKB5,CSK,Ayush Mhatre,Batter,India,30,Right-hand,Right Off-Spin,Uncapped,99.41900184714142,97.41108924674118,98.43114345649788,98.73442140354094,98.32431708393881,100.0,97.83431405367111,97.65961319377398,99.75245561020441,98.5
PBKSB5,PBKS,Priyansh Arya,Batter,India,380,Left-hand,Right Off-Spin,Uncapped,98.90538477700971,97.42276998632715,98.38146966057676,97.42553836285208,96.38564278833543,100.0,97.38162605833797,99.1628967673945,30.0,91.71
CSKW4,CSK,Urvil Patel,Wicket Keeper,India,30,Right-hand,,Uncapped,97.95369410972971,94.41946929220735,96.91058809903102,93.44811450309389,97.63243001046999,100.0,94.74056855351708,97.1941744016526,30.0,90.12
DCW2,DC,Abishek Porel,Wicket Keeper,India,400,Left-hand,Left Off-Spin,Uncapped,80.1739989367529,69.73530220929857,92.62257731956393,82.60478427309988,93.1315254175396,99.86199632822006,86.16945085752192,91.54469209096884,94.14122572952813,87.82
SRHB5,SRH,Aniket Verma,Batter,India,30,Right-hand,Right Medium-Fast,Uncapped,83.9321205222856,81.44784476348798,98.5040381315216,77.73024129477086,98.92617045258861,100.0,87.43151872204325,86.88692524740026,81.93519443061382,87.51
LSGA2,LSG,Mitchell Marsh,All Rounder,Australia,340,Right-hand,Right Medium,capped,98.92629885236465,97.22668324532052,85.80172714589555,98.17956256812694,88.77229625275126,90.44377115759929,74.89332491295896,95.89905562587263,63.28392028497118,86.64
CSKB6,CSK,Dewald Brevis,Batter,South Africa,220,Right-hand,Right Leg-Spin,capped,96.82462126312107,95.05724563256157,86.28010889443006,91.14408863320426,90.83624012132566,89.42748465147926,85.37426237911362,91.28851216602035,30.0,84.61
RRB3,RR,Yashasvi Jaiswal,Batter,India,1800,Left-hand,Right Leg-Spin,capped,92.13306825025771,92.73387826167519,91.01001751087597,89.25442628440291,86.7399644757002,88.69484173372872,83.89768722274621,86.7453083762463,50.02407515240638,84.06
GTB1,GT,Sai Sudharsan,Batter,India,850,Left-hand,Right Leg-Spin,capped,80.10238309471508,81.31656386025102,86.81145461522594,91.13538423685395,76.11156317996716,83.35716038308188,87.39412012867174,93.02150878054638,50.022144454381625,82.76
RCBW1,RCB,Phil Salt,Wicket Keeper,England,1150,Right-hand,Right Off-Spin,capped,88.84964646790388,78.31798609912559,83.5481132341275,82.34832208430723,79.76355907380264,82.01091881984767,77.81690502964234,89.13167932542504,63.4620608816636,81.54
PBKSW2,PBKS,Josh Inglis,Wicket Keeper,Australia,260,Right-hand,Right Off-Spin,capped,92.32447576835662,91.14712653025995,89.42268862372272,88.89541979806711,88.09145436257114,88.83417532817155,72.51348379733739,78.88224913940914,63.914669071547344,80.53
SRHW1,SRH,Heinrich Klaasen,Wicket Keeper,South Africa,2300,Right-hand,Right Off-Spin,capped,80.70092129333182,97.48458132277273,89.72974526824315,96.31785757851037,92.821323835451,92.36933029525605,84.28590931559278,82.43658339574574,30.0,80.39
PBKSW1,PBKS,Prabhsimran Singh,Wicket Keeper,India,400,Right-hand,,capped,86.42921502872096,70.97977935921486,81.13630710391595,81.299157248198,80.89215735862967,81.07830373306939,81.6936565647691,92.15189396368724,30.0,78.69
RCBB1,RCB,Virat Kohli,Batter,India,2100,Right-hand,Right Unorthodox,Elite,87.09199988458006,89.11973481575296,78.3567392009061,84.04618585282462,69.24641340970959,78.62376975888836,73.4311989262,78.98841454329852,51.6198254068023,77.04
KKRB2,KKR,Ajinkya Rahane,Batter,India,150,Right-hand,Right Off-Spin,capped,80.1879523475947,79.057013626791,82.64515176685846,78.39388923473823,79.86989512172968,80.54420447567254,75.13235527491712,84.70411546144214,30.0,74.97
CSKB3,CSK,Shaik Rasheed,Batter,India,30,Right-hand,Right Leg-Spin,Uncapped,71.05453463478113,60.32385326794996,86.39768376321058,72.29880911106804,85.1421819373883,82.08256023630125,66.34597221778088,83.36864034027477,83.7325456694986,74.8
LSGB3,LSG,Aiden Markram,Batter,South Africa,200,Right-hand,Right Off-Spin,capped,78.08874077201949,68.23357573803756,71.21893778709682,75.52983817044006,71.97223928706289,72.641263716803,77.11915203882589,91.51867116515024,30.0,74.59
RCBA4,RCB,Jacob Bethell,All Rounder,England,260,Left-hand,Left Off-Spin,capped,89.12628682001184,83.87952512322093,89.60167712499083,86.74080648719806,85.17127572060102,85.95606789678138,66.49295552761302,89.49579944049094,30.0,74.54
MIB2,MI,Surya kumar Yadav,Batter,India,1635,Right-hand,Right Off-Spin,Elite,74.11834834782408,90.38524939230516,76.74166334672762,85.48953078896804,73.73500625282611,78.06273186755199,77.24561863956562,71.39344829878205,48.51487515177142,73.88
GTB2,GT,Shubman Gill,Batter,India,1650,Right-hand,Right Off-Spin,Elite,75.18367483023513,71.39053813666911,72.70904038105708,77.32043861751197,70.43140202750757,72.87249904461106,75.16829177482859,78.93523124038212,57.0118833209151,73.57
KKRB1,KKR,Manish Pandey,Batter,India,75,Right-hand,Right Off-Spin,capped,73.8173427166223,82.62303927980352,78.34570294904825,82.05610676625065,81.27788884478403,80.02844685614302,71.64288902683063,70.81758503577038,64.11964207411489,73.37
