Player_id,Team,Player_name,Role,Nationality,Auction_price,Batting_type,Bowling type,Level,PPS_Score,Consistency_Score,Final_Phase_Score,RSI_Score,TCS_Score,FIS_Score,Overall_Score
RRB1,RR,Vaibhav Suryavanshi,Batter,India,110,Left-hand,,Uncapped,99.91862551906438,97.9846016238324,100.0,99.15995622671643,99.76470150380716,97.2190010585086,99.24
CSKB5,CSK,Ayush Mhatre,Batter,India,30,Right-hand,Right Off-Spin,Uncapped,99.41900184714142,97.41108924674118,100.0,97.83431405367111,97.65961319377398,99.75245561020441,98.5
PBKSB5,PBKS,Priyansh Arya,Batter,India,380,Left-hand,Right Off-Spin,Uncapped,98.90538477700971,97.42276998632715,100.0,97.38162605833797,99.1628967673945,30.0,91.71
CSKW4,CSK,Urvil Patel,Wicket Keeper,India,30,Right-hand,,Uncapped,97.95369410972971,94.41946929220735,100.0,94.74056855351708,97.1941744016526,30.0,90.12
DCW2,DC,Abishek Porel,Wicket Keeper,India,400,Left-hand,Left Off-Spin,Uncapped,80.1739989367529,69.73530220929857,99.86199632822006,86.16945085752192,91.54469209096884,94.14122572952813,87.82
SRHB5,SRH,Aniket Verma,Batter,India,30,Right-hand,Right Medium-Fast,Uncapped,83.9321205222856,81.44784476348798,100.0,87.43151872204325,86.88692524740026,81.93519443061382,87.51
LSGA2,LSG,Mitchell Marsh,All Rounder,Australia,340,Right-hand,Right Medium,capped,98.92629885236465,97.22668324532052,90.44377115759929,74.89332491295896,95.89905562587263,63.28392028497118,86.64
CSKB6,CSK,Dewald Brevis,Batter,South Africa,220,Right-hand,Right Leg-Spin,capped,96.82462126312107,95.05724563256157,89.42748465147926,85.37426237911362,91.28851216602035,30.0,84.61
RRB3,RR,Yashasvi Jaiswal,Batter,India,1800,Left-hand,Right Leg-Spin,capped,92.13306825025771,92.73387826167519,88.69484173372872,83.89768722274621,86.7453083762463,50.02407515240638,84.06
GTB1,GT,Sai Sudharsan,Batter,India,850,Left-hand,Right Leg-Spin,capped,80.10238309471508,81.31656386025102,83.35716038308188,87.39412012867174,93.02150878054638,50.022144454381625,82.76
RCBW1,RCB,Phil Salt,Wicket Keeper,England,1150,Right-hand,Right Off-Spin,capped,88.84964646790388,78.31798609912559,82.01091881984767,77.81690502964234,89.13167932542504,63.4620608816636,81.54
PBKSW2,PBKS,Josh Inglis,Wicket Keeper,Australia,260,Right-hand,Right Off-Spin,capped,92.32447576835662,91.14712653025995,88.83417532817155,72.51348379733739,78.88224913940914,63.914669071547344,80.53
SRHW1,SRH,Heinrich Klaasen,Wicket Keeper,South Africa,2300,Right-hand,Right Off-Spin,capped,80.70092129333182,97.48458132277273,92.36933029525605,84.28590931559278,82.43658339574574,30.0,80.39
PBKSW1,PBKS,Prabhsimran Singh,Wicket Keeper,India,400,Right-hand,,capped,86.42921502872096,70.97977935921486,81.07830373306939,81.6936565647691,92.15189396368724,30.0,78.69
RCBB1,RCB,Virat Kohli,Batter,India,2100,Right-hand,Right Unorthodox,Elite,87.09199988458006,89.11973481575296,78.62376975888836,73.4311989262,78.98841454329852,51.6198254068023,77.04
KKRB2,KKR,Ajinkya Rahane,Batter,India,150,Right-hand,Right Off-Spin,capped,80.1879523475947,79.057013626791,80.54420447567254,75.13235527491712,84.70411546144214,30.0,74.97
CSKB3,CSK,Shaik Rasheed,Batter,India,30,Right-hand,Right Leg-Spin,Uncapped,71.05453463478113,60.32385326794996,82.08256023630125,66.34597221778088,83.36864034027477,83.7325456694986,74.8
LSGB3,LSG,Aiden Markram,Batter,South Africa,200,Right-hand,Right Off-Spin,capped,78.08874077201949,68.23357573803756,72.641263716803,77.11915203882589,91.51867116515024,30.0,74.59
RCBA4,RCB,Jacob Bethell,All Rounder,England,260,Left-hand,Left Off-Spin,capped,89.12628682001184,83.87952512322093,85.95606789678138,66.49295552761302,89.49579944049094,30.0,74.54
MIB2,MI,Surya kumar Yadav,Batter,India,1635,Right-hand,Right Off-Spin,Elite,74.11834834782408,90.38524939230516,78.06273186755199,77.24561863956562,71.39344829878205,48.51487515177142,73.88
GTB2,GT,Shubman Gill,Batter,India,1650,Right-hand,Right Off-Spin,Elite,75.18367483023513,71.39053813666911,72.87249904461106,75.16829177482859,78.93523124038212,57.0118833209151,73.57
KKRB1,KKR,Manish Pandey,Batter,India,75,Right-hand,Right Off-Spin,capped,73.8173427166223,82.62303927980352,80.02844685614302,71.64288902683063,70.81758503577038,64.11964207411489,73.37
DCB3,DC,Sameer Rizvi,Batter,India,95,Right-hand,Right Off-Spin,capped,66.20620660267076,86.3723339050603,85.19189661142104,75.94779037713562,69.72746581705286,54.853340570501246,73.25
DCB2,DC,Karun Nair,Batter,India,50,Right-hand,Right Off-Spin,capped,77.16990544100946,66.48900086208911,70.9074481467711,73.09796623909033,78.76471826217477,62.40626925687924,73.07
RRB4,RR,Shubham Dubey,Batter,India,80,Left-hand,Right Off-Spin,Uncapped,62.987265342309385,71.13319715950632,99.70304291994319,76.5437541023644,60.75043116081572,67.02692926873361,72.54
SRHB1,SRH,Atharva Taide,Batter,India,30,Left-hand,Left Off-Spin,Uncapped,72.26823864952634,72.27153245667712,100.0,68.83570864857904,76.84021386738652,30.0,72.49
RRW1,RR,Sanju Samson,Wicket Keeper,India,1800,Right-hand,Right Off-Spin,capped,75.30218317435856,75.58501557684733,78.06617285349766,73.12261689432744,80.23495225316478,30.0,71.9
SRHB2,SRH,Travis Head,Batter,Australia,1400,Left-hand,Right Off-Spin,Elite,86.89062387700353,71.14799453906613,72.11189360301736,67.23826895300289,75.97546278355387,48.50613440731726,71.62
RRW2,RR,Dhruv Jurel,Wicket Keeper,India,1400,Right-hand,,capped,73.62287777376861,79.47932009912037,81.52203740580903,71.55792448158368,68.59762341373265,49.960826317369325,71.25
RCBB6,RCB,Devdutt Padikkal,Batter,India,200,Right-hand,Right Off-Spin,capped,75.25425127764947,62.971472659619735,71.12451981462368,69.82253007618651,79.52248082811764,50.022144454381625,70.59
RCBW2,RCB,Jitesh Sharma,Wicket Keeper,India,1100,Right-hand,Right Off-Spin,capped,66.27917332775557,90.38835445530015,87.59563385225978,73.87552424693803,58.827398574359364,50.05800586562659,70.3
